t_ms,ibi_ms_ecg1,ibi_ms_ecg2
349000,711.0596,655.5092
349500,708.6527,665.2958
350000,694.5153,684.2978
350500,682.3217,705.1547
351000,676.1295,720.7291
351500,664.1046,724.452
352000,649.9785,718.2244
352500,657.7383,699.7666
353000,657.9034,676.8994
353500,644.0293,672.3093
354000,643.6074,693.323
354500,674.8874,718.1945
355000,689.1268,738.2265
355500,709.0199,796.9171
356000,759.0721,852.5627
356500,817.0023,864.9467
357000,846.3307,860.1423
357500,837.2098,836.0894
358000,807.2136,778.6852
358500,779.9479,736.8358
359000,767.804,746.8868
359500,755.1238,779.1417
360000,738.2747,797.4292
360500,723.9193,784.4877
361000,716.0949,757.8475
361500,719.8133,731.4261
362000,735.5592,710.7622
362500,749.0065,691.3818
363000,729.739,664.6574
363500,685.9086,632.7434
364000,693.471,618.4848
364500,705.6131,619.3501
365000,689.8725,603.3448
365500,692.4556,584.4725
366000,709.8664,615.8244
366500,727.5447,652.6899
367000,740.7302,654.8391
367500,758.6602,713.8024
368000,772.9315,824.9876
368500,777.1583,863.9981
369000,780.7701,884.0969
369500,769.1166,922.5486
370000,737.5175,961.8337
370500,727.2298,969.5388
371000,729.2285,919.7299
371500,720.5403,865.7459
372000,726.8734,869.8628
372500,737.867,892.8792
373000,736.6646,884.9092
373500,732.8646,841.8048
374000,723.6082,787.2633
374500,707.6354,765.4328
375000,693.865,757.596
375500,682.8775,726.8037
376000,672.9559,688.4817
376500,664.9978,665.7736
377000,666.9668,675.7984
377500,703.6312,724.4948
378000,756.515,819.4661
378500,778.4591,912.4426
379000,822.8051,920.2908
379500,879.1846,855.7684
380000,886.0158,767.6906
380500,874.851,727.5286
381000,877.0917,746.4707
381500,869.9318,763.6048
382000,849.1689,758.8886
382500,835.7349,732.8895
383000,821.4504,693.9131
383500,791.1288,650.7014
384000,767.5075,643.3432
384500,749.6077,699.4586
385000,704.5023,731.0863
385500,680.9749,749.7872
386000,693.9517,776.7259
386500,680.1761,784.9719
387000,673.4695,755.4729
387500,671.1544,700.0415
388000,662.4529,662.4888
388500,697.8957,652.1908
389000,717.0041,651.2446
389500,770.47,644.1188
390000,937.095,649.9292
390500,1044.6281,648.4431
391000,1038.3714,634.5567
391500,975.7634,616.6455
392000,911.9368,588.5823
392500,894.7095,594.7583
393000,911.6676,587.8964
393500,911.2,573.1687
394000,880.5339,594.8623
394500,830.1128,634.4542
395000,795.6483,689.0073
395500,796.2746,749.3606
396000,805.4342,779.096
396500,818.5567,770.0514
397000,842.3512,762.6624
397500,852.7852,757.8936
398000,846.3268,744.4066
398500,853.048,719.3364
399000,869.9449,677.4197
399500,877.2241,637.3696
400000,874.5966,640.4888
400500,857.1805,631.6053
401000,803.9242,610.861
401500,741.8975,624.5789
402000,733.0827,692.7322
402500,743.8515,802.8305
403000,740.3414,848.7813
403500,742.5797,809.3807
404000,752.3688,781.1485
404500,763.1322,814.6087
405000,767.4211,905.3628
405500,754.8652,981.2851
406000,738.0737,1012.0882
406500,752.6483,1008.0001
407000,769.0282,980.1393
407500,760.6993,939.3646
408000,742.679,894.9517
408500,732.5542,852.811
409000,735.3561,797.6998
409500,739.3332,718.9428
410000,748.9728,671.3727
410500,763.0119,659.5678
411000,766.4275,658.2882
411500,762.0496,833.628
412000,756.715,1014.0065
412500,752.5996,1007.3442
413000,744.3932,956.0683
413500,728.9709,949.6825
414000,710.5666,960.3473
414500,689.8861,955.7501
415000,674.1135,910.3798
415500,673.1538,830.54
416000,664.5307,754.8183
416500,655.0005,750.0279
417000,663.6742,852.7208
417500,684.078,929.6129
418000,706.0381,929.5548
418500,724.5731,907.8288
419000,740.9703,894.353
419500,756.4342,899.2329
420000,741.0088,908.5204
420500,699.9037,903.411
421000,697.195,875.1242
421500,704.8614,825.1775
422000,699.9208,769.5042
422500,706.7036,716.1856
423000,730.277,668.0115
423500,724.8475,644.4707
424000,674.3741,632.21
424500,680.7444,612.3633
425000,705.1381,623.5318
425500,701.9946,633.0944
426000,709.5335,677.1388
426500,718.7532,805.6317
427000,722.4206,971.8731
427500,723.8307,1020.0799
428000,722.6317,948.501
428500,703.5934,890.1031
429000,669.358,880.7945
429500,658.4819,873.7338
430000,655.5,871.5866
430500,652.1676,890.6816
431000,657.4824,879.5675
431500,662.4626,817.7764
432000,676.0777,787.9513
432500,719.4458,811.8965
433000,797.4673,832.0306
433500,877.5,826.0077
434000,930.6553,801.2491
434500,948.1058,792.0907
435000,955.2859,778.7721
435500,965.0411,719.6472
436000,967.9891,682.1409
436500,961.0397,690.4817
437000,949.273,702.4389
437500,937.4786,744.3173
438000,929.2045,792.8227
438500,919.57,810.1292
439000,900.2301,813.7201
439500,882.5781,802.9072
440000,879.9111,769.9734
440500,867.7189,737.285
441000,834.546,715.2238
441500,826.7723,694.885
442000,852.5381,678.6238
442500,868.1765,677.2548
443000,865.4736,689.6283
443500,855.1,679.4026
444000,849.0991,668.4431
444500,840.7561,676.7781
